date,open,close
2022-04-07,445.59,448.77
2022-04-08,447.97,447.57
2022-04-11,444.11,439.92
2022-04-12,443.08,438.29
2022-04-13,438.03,443.31
2022-04-14,443.55,437.79
2022-04-18,436.81,437.97
2022-04-19,437.86,445.04
2022-04-20,446.92,444.71
2022-04-21,448.54,438.06
2022-04-22,436.91,426.04
2022-04-25,423.67,428.51
2022-04-26,425.83,416.1
2022-04-27,417.24,417.27
2022-04-28,422.29,427.81
2022-04-29,423.59,412.0
2022-05-02,412.07,414.48
2022-05-03,415.01,416.38
2022-05-04,417.08,429.06
2022-05-05,424.55,413.81
2022-05-06,411.1,411.34
2022-05-09,405.1,398.17
2022-05-10,404.49,399.09
2022-05-11,398.07,392.75
2022-05-12,389.37,392.34
2022-05-13,396.71,401.72
2022-05-16,399.98,400.09
2022-05-17,406.53,408.32
2022-05-18,403.5,391.86
2022-05-19,388.62,389.46
2022-05-20,393.25,389.63
2022-05-23,392.83,396.92
2022-05-24,392.56,393.89
2022-05-25,392.31,397.37
2022-05-26,398.67,405.31
2022-05-27,407.91,415.26
2022-05-31,413.55,412.93
2022-06-01,415.17,409.59
2022-06-02,409.42,417.39
2022-06-03,412.4,410.54
2022-06-06,414.78,411.79
2022-06-07,408.1,415.74
2022-06-08,413.93,411.22
2022-06-09,409.34,401.44
2022-06-10,394.88,389.8
2022-06-13,379.85,375.0
2022-06-14,376.85,373.87
2022-06-15,377.36,379.2
2022-06-16,370.51,366.65
2022-06-17,365.51,365.86
2022-06-21,371.89,375.07
2022-06-22,370.62,374.39
2022-06-23,376.64,378.06
2022-06-24,381.4,390.08
2022-06-27,391.05,388.59
2022-06-28,390.23,380.65
2022-06-29,381.23,380.34
2022-06-30,376.24,377.25
2022-07-01,376.56,381.24
2022-07-05,375.88,381.96
2022-07-06,382.11,383.25
2022-07-07,385.12,388.99
2022-07-08,387.27,388.67
2022-07-11,385.85,384.23
2022-07-12,383.65,380.83
2022-07-13,375.1,378.83
2022-07-14,373.61,377.91
2022-07-15,382.55,385.13
2022-07-18,388.38,381.95
2022-07-19,386.08,392.27
2022-07-20,392.47,394.77
2022-07-21,394.16,398.79
2022-07-22,398.92,395.09
2022-07-25,395.75,395.57
2022-07-26,393.84,390.89
2022-07-27,394.36,401.04
2022-07-28,401.89,406.07
2022-07-29,407.58,411.99
2022-08-01,409.15,410.77
2022-08-02,409.12,408.06
2022-08-03,410.3,414.45
2022-08-04,414.37,414.17
2022-08-05,409.66,413.47
2022-08-08,415.25,412.99
2022-08-09,412.22,411.35
2022-08-10,418.78,419.99
2022-08-11,422.99,419.99
2022-08-12,422.03,427.1
2022-08-15,424.77,428.86
2022-08-16,427.73,429.7
2022-08-17,425.91,426.65
2022-08-18,426.86,427.89
2022-08-19,424.98,422.14
2022-08-22,417.05,413.35
2022-08-23,412.9,412.35
2022-08-24,412.11,413.67
2022-08-25,415.24,419.51
2022-08-26,419.39,405.31
2022-08-29,402.2,402.63
2022-08-30,403.85,398.21
2022-08-31,399.93,395.18
2022-09-01,392.89,396.42
2022-09-02,400.28,392.24
2022-09-06,393.13,390.76
2022-09-07,390.43,397.78
2022-09-08,395.39,400.38
2022-09-09,402.74,406.6
2022-09-12,408.78,410.97
2022-09-13,401.83,393.1
2022-09-14,394.47,394.6
2022-09-15,392.96,390.12
2022-09-16,384.14,385.56
2022-09-19,382.26,388.55
2022-09-20,385.06,384.09
2022-09-21,386.11,377.39
2022-09-22,376.58,374.22
2022-09-23,370.58,367.95
2022-09-26,366.41,364.31
2022-09-27,368.02,363.38
2022-09-28,364.38,370.53
2022-09-29,366.81,362.79
2022-09-30,361.8,357.18
2022-10-03,361.08,366.61
2022-10-04,372.4,377.97
2022-10-05,373.39,377.09
2022-10-06,375.62,373.2
2022-10-07,368.97,362.79
2022-10-10,363.96,360.02
2022-10-11,358.24,357.74
2022-10-12,358.17,356.56
2022-10-13,349.21,365.97
2022-10-14,368.55,357.63
2022-10-17,364.01,366.82
2022-10-18,375.13,371.13
2022-10-19,368.99,368.5
2022-10-20,368.03,365.41
2022-10-21,365.12,374.29
2022-10-24,375.89,378.87
2022-10-25,378.79,384.92
2022-10-26,381.62,382.02
2022-10-27,383.07,379.98
2022-10-28,379.87,389.02
2022-10-31,386.44,386.21
2022-11-01,390.14,384.52
2022-11-02,383.9,374.87
2022-11-03,371.47,371.01
2022-11-04,377.0,376.35
2022-11-07,377.71,379.95
2022-11-08,381.11,382.0
2022-11-09,379.93,374.13
2022-11-10,388.05,394.69
2022-11-11,395.59,398.51
2022-11-14,396.66,395.12
2022-11-15,401.15,398.49
2022-11-16,396.78,395.45
2022-11-17,390.46,394.24
2022-11-18,397.74,396.03
2022-11-21,394.64,394.59
